N,Data_width,Tw_width,type_fft,SimpleMult,Fast_DSP,carry_save,Bram,LUTs,Registers,DSPs,BRAMs,WNS_ns,TNS_ns,Power_W
256,10,9,0,0,0,0,0,1547,1828,21,0,4.333,0.0,0.256
256,10,9,0,1,0,0,0,1454,1827,28,0,2.605,0.0,0.262
256,11,9,1,0,0,0,0,2575,3483,27,0,4.217,0.0,0.374
256,11,9,1,0,0,0,1,2004,2700,27,6,5.241,0.0,0.396
256,11,9,1,1,0,0,0,2438,3386,36,0,3.371,0.0,0.387
256,11,9,1,1,0,0,1,1863,2519,36,6,3.633,0.0,0.407
1024,10,9,0,0,0,0,0,3281,2482,27,0,4.183,0.0,0.295
1024,10,9,0,1,0,0,0,3152,2481,36,0,2.546,0.0,0.306
1024,11,9,1,0,0,0,0,5238,5820,36,0,2.871,0.0,0.466
1024,11,9,1,0,0,0,1,2776,3670,36,10,5.273,0.0,0.467
1024,11,9,1,1,0,0,0,5040,5683,48,0,3.114,0.0,0.483
1024,11,9,1,1,0,0,1,2579,3413,48,10,3.075,0.0,0.483
